 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 8.16400000e-04  2.49908577e+00  3.91891749e+00  2.58908369e+00  2.59043728e+00 -3.25296600e-05 
 8.21400000e-04  2.49909895e+00  3.91776834e+00  2.58792673e+00  2.58939853e+00 -3.25378670e-05 
 8.26400000e-04  2.49911302e+00  3.91653401e+00  2.58668478e+00  2.58827338e+00 -3.25466872e-05 
 8.31400000e-04  2.49912796e+00  3.91521567e+00  2.58535905e+00  2.58706292e+00 -3.25561121e-05 
 8.36400000e-04  2.49914377e+00  3.91381460e+00  2.58395081e+00  2.58576830e+00 -3.25661327e-05 
 8.41400000e-04  2.49916042e+00  3.91233215e+00  2.58246142e+00  2.58439078e+00 -3.25767395e-05 
 8.46400000e-04  2.49917790e+00  3.91076976e+00  2.58089232e+00  2.58293169e+00 -3.25879222e-05 
 8.51400000e-04  2.49919618e+00  3.90912892e+00  2.57924501e+00  2.58139243e+00 -3.25996701e-05 
 8.56400000e-04  2.49921527e+00  3.90741123e+00  2.57752110e+00  2.57977449e+00 -3.26119720e-05 
 8.61400000e-04  2.49923512e+00  3.90561834e+00  2.57572224e+00  2.57807943e+00 -3.26248160e-05 
 8.66400000e-04  2.49925574e+00  3.90375198e+00  2.57385018e+00  2.57630888e+00 -3.26381897e-05 
 8.71400000e-04  2.49927708e+00  3.90181397e+00  2.57190673e+00  2.57446457e+00 -3.26520804e-05 
 8.76400000e-04  2.49929914e+00  3.89980618e+00  2.56989377e+00  2.57254827e+00 -3.26664745e-05 
 8.81400000e-04  2.49932189e+00  3.89773056e+00  2.56781324e+00  2.57056184e+00 -3.26813583e-05 
 8.86400000e-04  2.49934531e+00  3.89558911e+00  2.56566718e+00  2.56850720e+00 -3.26967174e-05 
 8.91400000e-04  2.49936938e+00  3.89338392e+00  2.56345765e+00  2.56638635e+00 -3.27125369e-05 
 8.96400000e-04  2.49939407e+00  3.89111713e+00  2.56118681e+00  2.56420134e+00 -3.27288016e-05 
 9.01400000e-04  2.49941935e+00  3.88879093e+00  2.55885686e+00  2.56195429e+00 -3.27454956e-05 
 9.06400000e-04  2.49944521e+00  3.88640760e+00  2.55647007e+00  2.55964740e+00 -3.27626029e-05 
 9.11400000e-04  2.49947162e+00  3.88396945e+00  2.55402876e+00  2.55728289e+00 -3.27801069e-05 
 9.16400000e-04  2.49949855e+00  3.88147886e+00  2.55153531e+00  2.55486307e+00 -3.27979905e-05 
 9.21400000e-04  2.49952597e+00  3.87893825e+00  2.54899214e+00  2.55239031e+00 -3.28162364e-05 
 9.26400000e-04  2.49955386e+00  3.87635010e+00  2.54640175e+00  2.54986700e+00 -3.28348268e-05 
 9.31400000e-04  2.49958220e+00  3.87371694e+00  2.54376666e+00  2.54729560e+00 -3.28537437e-05 
 9.36400000e-04  2.49961094e+00  3.87104135e+00  2.54108943e+00  2.54467864e+00 -3.28729686e-05 
 9.41400000e-04  2.49964007e+00  3.86832593e+00  2.53837270e+00  2.54201865e+00 -3.28924828e-05 
 9.46400000e-04  2.49966955e+00  3.86557335e+00  2.53561912e+00  2.53931825e+00 -3.29122672e-05 
 9.51400000e-04  2.49969936e+00  3.86278630e+00  2.53283138e+00  2.53658008e+00 -3.29323025e-05 
 9.56400000e-04  2.49972947e+00  3.85996751e+00  2.53001223e+00  2.53380681e+00 -3.29525691e-05 
 9.61400000e-04  2.49975984e+00  3.85711974e+00  2.52716441e+00  2.53100117e+00 -3.29730471e-05 
 9.66400000e-04  2.49979045e+00  3.85424580e+00  2.52429073e+00  2.52816590e+00 -3.29937165e-05 
 9.71400000e-04  2.49982127e+00  3.85134851e+00  2.52139402e+00  2.52530379e+00 -3.30145570e-05 
 9.76400000e-04  2.49985226e+00  3.84843071e+00  2.51847711e+00  2.52241765e+00 -3.30355481e-05 
 9.81400000e-04  2.49988340e+00  3.84549527e+00  2.51554288e+00  2.51951030e+00 -3.30566692e-05 
 9.86400000e-04  2.49991465e+00  3.84254509e+00  2.51259421e+00  2.51658463e+00 -3.30778995e-05 
 9.91400000e-04  2.49994599e+00  3.83958307e+00  2.50963402e+00  2.51364349e+00 -3.30992181e-05 
 9.96400000e-04  2.49997738e+00  3.83661213e+00  2.50666522e+00  2.51068980e+00 -3.31206041e-05 
 1.00140000e-03  2.50000880e+00  3.83363520e+00  2.50369074e+00  2.50772646e+00 -3.31420362e-05 
 1.00640000e-03  2.50004020e+00  3.83065523e+00  2.50071352e+00  2.50475639e+00 -3.31634934e-05 
 1.01140000e-03  2.50007157e+00  3.82767515e+00  2.49773649e+00  2.50178253e+00 -3.31849544e-05 
 1.01640000e-03  2.50010286e+00  3.82469792e+00  2.49476261e+00  2.49880781e+00 -3.32063980e-05 
 1.02140000e-03  2.50013406e+00  3.82172648e+00  2.49179481e+00  2.49583518e+00 -3.32278030e-05 
 1.02640000e-03  2.50016512e+00  3.81876376e+00  2.48883603e+00  2.49286757e+00 -3.32491481e-05 
 1.03140000e-03  2.50019601e+00  3.81581271e+00  2.48588921e+00  2.48990792e+00 -3.32704123e-05 
 1.03640000e-03  2.50022672e+00  3.81287625e+00  2.48295725e+00  2.48695916e+00 -3.32915743e-05 
 1.04140000e-03  2.50025720e+00  3.80995730e+00  2.48004308e+00  2.48402422e+00 -3.33126132e-05 
 1.04640000e-03  2.50028743e+00  3.80705874e+00  2.47714959e+00  2.48110600e+00 -3.33335081e-05 
 1.05140000e-03  2.50031737e+00  3.80418347e+00  2.47427964e+00  2.47820741e+00 -3.33542382e-05 
 1.05640000e-03  2.50034700e+00  3.80133433e+00  2.47143609e+00  2.47533131e+00 -3.33747829e-05 
 1.06140000e-03  2.50037629e+00  3.79851415e+00  2.46862176e+00  2.47248056e+00 -3.33951216e-05 
 1.06640000e-03  2.50040521e+00  3.79572575e+00  2.46583946e+00  2.46965801e+00 -3.34152342e-05 
 1.07140000e-03  2.50043372e+00  3.79297190e+00  2.46309195e+00  2.46686645e+00 -3.34351005e-05 
 1.07640000e-03  2.50046181e+00  3.79025533e+00  2.46038197e+00  2.46410866e+00 -3.34547007e-05 
 1.08140000e-03  2.50048944e+00  3.78757876e+00  2.45771222e+00  2.46138739e+00 -3.34740153e-05 
 1.08640000e-03  2.50051659e+00  3.78494486e+00  2.45508535e+00  2.45870534e+00 -3.34930249e-05 
 1.09140000e-03  2.50054323e+00  3.78235624e+00  2.45250400e+00  2.45606520e+00 -3.35117106e-05 
