 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 1.75280000e-04  2.50089180e+00  1.13009793e+00  3.36339538e-01  3.36183623e+00  3.36183623e+00 
 1.76280000e-04  2.50089463e+00  1.13010074e+00  3.36342130e-01  3.36182362e+00  3.36182362e+00 
 1.77280000e-04  2.50089742e+00  1.13010352e+00  3.36344689e-01  3.36181117e+00  3.36181117e+00 
 1.78280000e-04  2.50090017e+00  1.13010626e+00  3.36347215e-01  3.36179888e+00  3.36179888e+00 
 1.79280000e-04  2.50090289e+00  1.13010897e+00  3.36349708e-01  3.36178675e+00  3.36178675e+00 
 1.80280000e-04  2.50090557e+00  1.13011164e+00  3.36352169e-01  3.36177478e+00  3.36177478e+00 
 1.81280000e-04  2.50090822e+00  1.13011427e+00  3.36354596e-01  3.36176297e+00  3.36176297e+00 
 1.82280000e-04  2.50091083e+00  1.13011687e+00  3.36356991e-01  3.36175132e+00  3.36175132e+00 
 1.83280000e-04  2.50091341e+00  1.13011943e+00  3.36359352e-01  3.36173983e+00  3.36173983e+00 
 1.84280000e-04  2.50091595e+00  1.13012196e+00  3.36361680e-01  3.36172850e+00  3.36172850e+00 
 1.85280000e-04  2.50091845e+00  1.13012445e+00  3.36363975e-01  3.36171734e+00  3.36171734e+00 
 1.86280000e-04  2.50092092e+00  1.13012690e+00  3.36366236e-01  3.36170634e+00  3.36170634e+00 
 1.87280000e-04  2.50092335e+00  1.13012932e+00  3.36368464e-01  3.36169550e+00  3.36169550e+00 
 1.88280000e-04  2.50092574e+00  1.13013170e+00  3.36370658e-01  3.36168482e+00  3.36168482e+00 
 1.89280000e-04  2.50092810e+00  1.13013404e+00  3.36372818e-01  3.36167431e+00  3.36167431e+00 
 1.90280000e-04  2.50093042e+00  1.13013635e+00  3.36374945e-01  3.36166397e+00  3.36166397e+00 
 1.91280000e-04  2.50093271e+00  1.13013862e+00  3.36377038e-01  3.36165378e+00  3.36165378e+00 
 1.92280000e-04  2.50093495e+00  1.13014086e+00  3.36379096e-01  3.36164377e+00  3.36164377e+00 
 1.93280000e-04  2.50093717e+00  1.13014306e+00  3.36381121e-01  3.36163392e+00  3.36163392e+00 
 1.94280000e-04  2.50093934e+00  1.13014522e+00  3.36383112e-01  3.36162423e+00  3.36162423e+00 
 1.95280000e-04  2.50094148e+00  1.13014734e+00  3.36385068e-01  3.36161471e+00  3.36161471e+00 
 1.96280000e-04  2.50094357e+00  1.13014942e+00  3.36386990e-01  3.36160536e+00  3.36160536e+00 
 1.97280000e-04  2.50094564e+00  1.13015147e+00  3.36388878e-01  3.36159618e+00  3.36159618e+00 
 1.98280000e-04  2.50094766e+00  1.13015348e+00  3.36390731e-01  3.36158716e+00  3.36158716e+00 
 1.99280000e-04  2.50094965e+00  1.13015546e+00  3.36392550e-01  3.36157831e+00  3.36157831e+00 
 2.00280000e-04  2.50095160e+00  1.13015739e+00  3.36394335e-01  3.36156963e+00  3.36156963e+00 
 2.01280000e-04  2.50095351e+00  1.13015929e+00  3.36396084e-01  3.36156112e+00  3.36156112e+00 
 2.02280000e-04  2.50095539e+00  1.13016115e+00  3.36397799e-01  3.36155277e+00  3.36155277e+00 
 2.03280000e-04  2.50095722e+00  1.13016298e+00  3.36399479e-01  3.36154460e+00  3.36154460e+00 
 2.04280000e-04  2.50095902e+00  1.13016476e+00  3.36401125e-01  3.36153659e+00  3.36153659e+00 
 2.05280000e-04  2.50096078e+00  1.13016651e+00  3.36402735e-01  3.36152876e+00  3.36152876e+00 
 2.06280000e-04  2.50096251e+00  1.13016822e+00  3.36404310e-01  3.36152109e+00  3.36152109e+00 
 2.07280000e-04  2.50096419e+00  1.13016989e+00  3.36405851e-01  3.36151360e+00  3.36151360e+00 
 2.08280000e-04  2.50096584e+00  1.13017153e+00  3.36407356e-01  3.36150628e+00  3.36150628e+00 
 2.09280000e-04  2.50096745e+00  1.13017312e+00  3.36408826e-01  3.36149912e+00  3.36149912e+00 
 2.10280000e-04  2.50096902e+00  1.13017468e+00  3.36410261e-01  3.36149214e+00  3.36149214e+00 
