 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 8.51400000e-04  2.49919618e+00  3.90992889e+00  2.58004185e+00 -3.25936275e-05 
 8.56400000e-04  2.49921527e+00  3.90824796e+00  2.57835677e+00 -3.26056511e-05 
 8.61400000e-04  2.49923512e+00  3.90649103e+00  2.57659585e+00 -3.26182229e-05 
 8.66400000e-04  2.49925574e+00  3.90465979e+00  2.57476079e+00 -3.26313308e-05 
 8.71400000e-04  2.49927708e+00  3.90275602e+00  2.57285337e+00 -3.26449622e-05 
 8.76400000e-04  2.49929914e+00  3.90078156e+00  2.57087543e+00 -3.26591040e-05 
 8.81400000e-04  2.49932189e+00  3.89873832e+00  2.56882890e+00 -3.26737426e-05 
 8.86400000e-04  2.49934531e+00  3.89662828e+00  2.56671575e+00 -3.26888638e-05 
 8.91400000e-04  2.49936938e+00  3.89445349e+00  2.56453803e+00 -3.27044530e-05 
 8.96400000e-04  2.49939407e+00  3.89221605e+00  2.56229787e+00 -3.27204952e-05 
 9.01400000e-04  2.49941935e+00  3.88991815e+00  2.55999742e+00 -3.27369749e-05 
 9.06400000e-04  2.49944521e+00  3.88756202e+00  2.55763894e+00 -3.27538761e-05 
 9.11400000e-04  2.49947162e+00  3.88514995e+00  2.55522472e+00 -3.27711824e-05 
 9.16400000e-04  2.49949855e+00  3.88268428e+00  2.55275710e+00 -3.27888770e-05 
 9.21400000e-04  2.49952597e+00  3.88016743e+00  2.55023849e+00 -3.28069428e-05 
 9.26400000e-04  2.49955386e+00  3.87760184e+00  2.54767134e+00 -3.28253621e-05 
 9.31400000e-04  2.49958220e+00  3.87499001e+00  2.54505817e+00 -3.28441172e-05 
 9.36400000e-04  2.49961094e+00  3.87233451e+00  2.54240152e+00 -3.28631896e-05 
 9.41400000e-04  2.49964007e+00  3.86963792e+00  2.53970399e+00 -3.28825609e-05 
 9.46400000e-04  2.49966955e+00  3.86690288e+00  2.53696822e+00 -3.29022121e-05 
 9.51400000e-04  2.49969936e+00  3.86413207e+00  2.53419689e+00 -3.29221239e-05 
 9.56400000e-04  2.49972947e+00  3.86132821e+00  2.53139271e+00 -3.29422771e-05 
 9.61400000e-04  2.49975984e+00  3.85849404e+00  2.52855843e+00 -3.29626518e-05 
 9.66400000e-04  2.49979045e+00  3.85563235e+00  2.52569684e+00 -3.29832280e-05 
 9.71400000e-04  2.49982127e+00  3.85274594e+00  2.52281074e+00 -3.30039856e-05 
 9.76400000e-04  2.49985226e+00  3.84983765e+00  2.51990296e+00 -3.30249042e-05 
 9.81400000e-04  2.49988340e+00  3.84691034e+00  2.51697638e+00 -3.30459633e-05 
 9.86400000e-04  2.49991465e+00  3.84396690e+00  2.51403386e+00 -3.30671422e-05 
 9.91400000e-04  2.49994599e+00  3.84101021e+00  2.51107831e+00 -3.30884199e-05 
 9.96400000e-04  2.49997738e+00  3.83804321e+00  2.50811264e+00 -3.31097756e-05 
 1.00140000e-03  2.50000880e+00  3.83506880e+00  2.50513978e+00 -3.31311882e-05 
 1.00640000e-03  2.50004020e+00  3.83208994e+00  2.50216266e+00 -3.31526365e-05 
 1.01140000e-03  2.50007157e+00  3.82910955e+00  2.49918421e+00 -3.31740993e-05 
 1.01640000e-03  2.50010286e+00  3.82613060e+00  2.49620739e+00 -3.31955555e-05 
