 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 7.06400000e-04  2.49903729e+00  3.91959945e+00  2.58956956e+00  2.58873006e+00 -3.25277656e-05 
 7.11400000e-04  2.49902927e+00  3.92058732e+00  2.59054250e+00  2.58976988e+00 -3.25204815e-05 
 7.16400000e-04  2.49902220e+00  3.92148731e+00  2.59142796e+00  2.59072295e+00 -3.25138270e-05 
 7.21400000e-04  2.49901610e+00  3.92229855e+00  2.59222509e+00  2.59158836e+00 -3.25078084e-05 
 7.26400000e-04  2.49901097e+00  3.92302026e+00  2.59293311e+00  2.59236529e+00 -3.25024315e-05 
 7.31400000e-04  2.49900682e+00  3.92365174e+00  2.59355134e+00  2.59305297e+00 -3.24977014e-05 
 7.36400000e-04  2.49900365e+00  3.92419238e+00  2.59407919e+00  2.59365076e+00 -3.24936227e-05 
 7.41400000e-04  2.49900146e+00  3.92464167e+00  2.59451616e+00  2.59415806e+00 -3.24901992e-05 
 7.46400000e-04  2.49900026e+00  3.92499916e+00  2.59486181e+00  2.59457441e+00 -3.24874343e-05 
 7.51400000e-04  2.49900004e+00  3.92526453e+00  2.59511583e+00  2.59489939e+00 -3.24853305e-05 
 7.56400000e-04  2.49900081e+00  3.92543750e+00  2.59527795e+00  2.59513269e+00 -3.24838901e-05 
 7.61400000e-04  2.49900256e+00  3.92551792e+00  2.59534803e+00  2.59527408e+00 -3.24831142e-05 
 7.66400000e-04  2.49900530e+00  3.92550571e+00  2.59532600e+00  2.59532344e+00 -3.24830037e-05 
 7.71400000e-04  2.49900903e+00  3.92540087e+00  2.59521188e+00  2.59528070e+00 -3.24835587e-05 
 7.76400000e-04  2.49901373e+00  3.92520351e+00  2.59500578e+00  2.59514592e+00 -3.24847786e-05 
 7.81400000e-04  2.49901940e+00  3.92491382e+00  2.59470789e+00  2.59491923e+00 -3.24866624e-05 
 7.86400000e-04  2.49902604e+00  3.92453206e+00  2.59431851e+00  2.59460082e+00 -3.24892083e-05 
 7.91400000e-04  2.49903364e+00  3.92405862e+00  2.59383799e+00  2.59419103e+00 -3.24924137e-05 
 7.96400000e-04  2.49904220e+00  3.92349394e+00  2.59326681e+00  2.59369022e+00 -3.24962758e-05 
 8.01400000e-04  2.49905170e+00  3.92283857e+00  2.59260552e+00  2.59309890e+00 -3.25007908e-05 
 8.06400000e-04  2.49906214e+00  3.92209313e+00  2.59185474e+00  2.59241762e+00 -3.25059544e-05 
 8.11400000e-04  2.49907350e+00  3.92125835e+00  2.59101520e+00  2.59164703e+00 -3.25117617e-05 
 8.16400000e-04  2.49908577e+00  3.92033501e+00  2.59008771e+00  2.59078789e+00 -3.25182072e-05 
 8.21400000e-04  2.49909895e+00  3.91932402e+00  2.58907315e+00  2.58984101e+00 -3.25252847e-05 
 8.26400000e-04  2.49911302e+00  3.91822634e+00  2.58797251e+00  2.58880731e+00 -3.25329875e-05 
 8.31400000e-04  2.49912796e+00  3.91704303e+00  2.58678685e+00  2.58768778e+00 -3.25413082e-05 
