 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.17140000e-03  2.50088051e+00  3.74978168e+00  2.41990324e+00 -3.37469409e-05 
 1.17640000e-03  2.50089497e+00  3.74827336e+00  2.41839633e+00 -3.37578825e-05 
 1.18140000e-03  2.50090854e+00  3.74684701e+00  2.41697141e+00 -3.37682342e-05 
 1.18640000e-03  2.50092121e+00  3.74550406e+00  2.41562988e+00 -3.37779857e-05 
 1.19140000e-03  2.50093298e+00  3.74424585e+00  2.41437311e+00 -3.37871271e-05 
 1.19640000e-03  2.50094382e+00  3.74307366e+00  2.41320236e+00 -3.37956492e-05 
 1.20140000e-03  2.50095374e+00  3.74198865e+00  2.41211879e+00 -3.38035434e-05 
 1.20640000e-03  2.50096271e+00  3.74099191e+00  2.41112350e+00 -3.38108018e-05 
 1.21140000e-03  2.50097073e+00  3.74008444e+00  2.41021748e+00 -3.38174171e-05 
 1.21640000e-03  2.50097780e+00  3.73926715e+00  2.40940164e+00 -3.38233825e-05 
 1.22140000e-03  2.50098390e+00  3.73854087e+00  2.40867680e+00 -3.38286921e-05 
 1.22640000e-03  2.50098903e+00  3.73790632e+00  2.40804369e+00 -3.38333405e-05 
 1.23140000e-03  2.50099318e+00  3.73736413e+00  2.40750294e+00 -3.38373231e-05 
 1.23640000e-03  2.50099635e+00  3.73691486e+00  2.40705509e+00 -3.38406358e-05 
 1.24140000e-03  2.50099854e+00  3.73655895e+00  2.40670060e+00 -3.38432752e-05 
 1.24640000e-03  2.50099974e+00  3.73629675e+00  2.40643982e+00 -3.38452389e-05 
 1.25140000e-03  2.50099996e+00  3.73612854e+00  2.40627301e+00 -3.38465246e-05 
 1.25640000e-03  2.50099919e+00  3.73605448e+00  2.40620034e+00 -3.38471313e-05 
 1.26140000e-03  2.50099744e+00  3.73607464e+00  2.40622188e+00 -3.38470582e-05 
 1.26640000e-03  2.50099470e+00  3.73618900e+00  2.40633760e+00 -3.38463054e-05 
 1.27140000e-03  2.50099097e+00  3.73639746e+00  2.40654740e+00 -3.38448738e-05 
 1.27640000e-03  2.50098627e+00  3.73669978e+00  2.40685105e+00 -3.38427647e-05 
 1.28140000e-03  2.50098060e+00  3.73709568e+00  2.40724826e+00 -3.38399804e-05 
